claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0013.jpg_claim_10,documerica_0013.jpg,5,3,0,2,1.0,100.0
documerica_0052.jpg_claim_18,documerica_0052.jpg,7,1,0,6,1.0,100.0
documerica_0033.jpg_claim_12,documerica_0033.jpg,0,0,0,0,,
documerica_0073.jpg_claim_9,documerica_0073.jpg,6,0,0,6,,
documerica_0009.jpg_claim_18,documerica_0009.jpg,3,3,0,0,1.0,100.0
documerica_0078.jpg_claim_19,documerica_0078.jpg,0,0,0,0,,
documerica_0049.jpg_claim_0,documerica_0049.jpg,11,3,0,8,1.0,100.0
documerica_0025.jpg_claim_11,documerica_0025.jpg,0,0,0,0,,
documerica_0056.jpg_claim_12,documerica_0056.jpg,0,0,0,0,,
documerica_0093.jpg_claim_5,documerica_0093.jpg,0,0,0,0,,
documerica_0006.jpg_claim_2,documerica_0006.jpg,26,9,0,17,1.0,100.0
documerica_0052.jpg_claim_22,documerica_0052.jpg,2,2,0,0,1.0,100.0
documerica_0088.jpg_claim_1,documerica_0088.jpg,4,1,0,3,1.0,100.0
documerica_0061.jpg_claim_13,documerica_0061.jpg,11,4,0,7,1.0,100.0
documerica_0027.jpg_claim_3,documerica_0027.jpg,6,4,0,2,1.0,100.0
documerica_0025.jpg_claim_3,documerica_0025.jpg,6,2,0,4,1.0,100.0
documerica_0049.jpg_claim_6,documerica_0049.jpg,0,0,0,0,,
documerica_0049.jpg_claim_16,documerica_0049.jpg,0,0,0,0,,
documerica_0010.jpg_claim_11,documerica_0010.jpg,1,1,0,0,1.0,100.0
documerica_0015.jpg_claim_8,documerica_0015.jpg,0,0,0,0,,
documerica_0056.jpg_claim_23,documerica_0056.jpg,1,0,1,0,0.0,0.0
documerica_0022.jpg_claim_22,documerica_0022.jpg,0,0,0,0,,
documerica_0006.jpg_claim_6,documerica_0006.jpg,2,2,0,0,1.0,100.0
documerica_0067.jpg_claim_9,documerica_0067.jpg,3,1,0,2,1.0,100.0
documerica_0059.jpg_claim_3,documerica_0059.jpg,1,0,0,1,,
documerica_0017.jpg_claim_3,documerica_0017.jpg,0,0,0,0,,
documerica_0051.jpg_claim_18,documerica_0051.jpg,2,1,1,0,0.5,50.0
documerica_0093.jpg_claim_21,documerica_0093.jpg,1,0,0,1,,
documerica_0076.jpg_claim_9,documerica_0076.jpg,6,4,0,2,1.0,100.0
documerica_0051.jpg_claim_13,documerica_0051.jpg,0,0,0,0,,
documerica_0065.jpg_claim_17,documerica_0065.jpg,0,0,0,0,,
documerica_0048.jpg_claim_3,documerica_0048.jpg,2,1,0,1,1.0,100.0
documerica_0090.jpg_claim_21,documerica_0090.jpg,2,1,0,1,1.0,100.0
documerica_0025.jpg_claim_1,documerica_0025.jpg,4,0,0,4,,
documerica_0007.jpg_claim_16,documerica_0007.jpg,3,0,0,3,,
documerica_0008.jpg_claim_12,documerica_0008.jpg,3,2,0,1,1.0,100.0
documerica_0053.jpg_claim_1,documerica_0053.jpg,3,1,0,2,1.0,100.0
documerica_0033.jpg_claim_3,documerica_0033.jpg,21,4,3,14,0.5714285714285714,57.14285714285714
documerica_0031.jpg_claim_10,documerica_0031.jpg,2,0,0,2,,
documerica_0024.jpg_claim_22,documerica_0024.jpg,3,1,0,2,1.0,100.0
documerica_0050.jpg_claim_22,documerica_0050.jpg,4,0,0,4,,
documerica_0092.jpg_claim_16,documerica_0092.jpg,4,0,1,3,0.0,0.0
documerica_0034.jpg_claim_8,documerica_0034.jpg,2,2,0,0,1.0,100.0
documerica_0013.jpg_claim_5,documerica_0013.jpg,9,2,0,7,1.0,100.0
documerica_0048.jpg_claim_15,documerica_0048.jpg,3,0,0,3,,
documerica_0053.jpg_claim_8,documerica_0053.jpg,10,0,1,9,0.0,0.0
